file,line,column,type,code,message,docs,severity,link
plugin-update-checker/Puc/v5p5/Vcs/BitBucketApi.php,32,93,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$repositoryUrl'.",https://developer.wordpress.org/apis/security/escaping/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FBitBucketApi.php&line=32
plugin-update-checker/Puc/v5p5/Vcs/BitBucketApi.php,215,42,WARNING,WordPress.NamingConventions.PrefixAllGlobals.DynamicHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$this-&gt;httpFilterName&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FBitBucketApi.php&line=215
plugin-update-checker/Puc/v5p5/Vcs/BitBucketApi.php,219,27,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;puc_api_error&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FBitBucketApi.php&line=219
plugin-update-checker/Puc/v5p5/Vcs/BitBucketApi.php,240,23,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;puc_api_error&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FBitBucketApi.php&line=240
plugin-update-checker/Puc/v5p5/Vcs/GitLabApi.php,63,98,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$repositoryUrl'.",https://developer.wordpress.org/apis/security/escaping/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitLabApi.php&line=63
plugin-update-checker/Puc/v5p5/Vcs/GitLabApi.php,80,94,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$repositoryUrl'.",https://developer.wordpress.org/apis/security/escaping/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitLabApi.php&line=80
plugin-update-checker/Puc/v5p5/Vcs/GitLabApi.php,265,42,WARNING,WordPress.NamingConventions.PrefixAllGlobals.DynamicHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$this-&gt;httpFilterName&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitLabApi.php&line=265
plugin-update-checker/Puc/v5p5/Vcs/GitLabApi.php,270,27,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;puc_api_error&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitLabApi.php&line=270
plugin-update-checker/Puc/v5p5/Vcs/GitLabApi.php,284,23,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;puc_api_error&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitLabApi.php&line=284
plugin-update-checker/Puc/v5p5/Vcs/ReleaseFilteringFeature.php,41,21,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$maxReleases'.",https://developer.wordpress.org/apis/security/escaping/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FReleaseFilteringFeature.php&line=41
plugin-update-checker/Puc/v5p5/Vcs/ReleaseFilteringFeature.php,46,21,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$maxReleases'.",https://developer.wordpress.org/apis/security/escaping/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FReleaseFilteringFeature.php&line=46
plugin-update-checker/Puc/v5p5/Vcs/GitHubApi.php,0,0,ERROR,missing_direct_file_access_protection,PHP file should prevent direct access. Add a check like: if ( ! defined( 'ABSPATH' ) ) exit;,https://developer.wordpress.org/plugins/wordpress-org/common-issues/#direct-file-access,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitHubApi.php
